Številka instance, Številka naloge, Status naloge, Ime koraka, Čas prejema, Čas začetka, Čas zaključka, Tip prejemnika, Prejemnik, Je nujno, Stranka ime, Stranka ulica, Stranka kraj, Stranka telefon, Stranka e-pošta, Znesek naročila, Znesek dostave, Znesek skupaj, Razdalja, Naročena pizza 1, Naročena pizza 2, Naročena pizza 3, Naročena pizza 4, Naročena pizza 5, Naročena pizza 6, Naročena pizza 7, Naročena pizza 8
323, 2, Zaključena, Počakaj, 12/01/2017 13:41:07, 12/01/2017 13:41:07, 12/01/2017 13:51:07, Sistem, , NE, Vesna Mlakar, VODNIKOVA CESTA 251, 1000 Ljubljana, 044 328 297, vesna.mlakar@pizza.si, 11.20, 0.00, 11.20, 8.15, DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], , , , , , , 
324, 1, Zaključena, Naročilo, 12/01/2017 13:41:12, 12/01/2017 13:41:12, 12/01/2017 13:41:12, Uporabnik, Janez Novak, DA, Tadeja Jereb, JAKŠIČEVA ULICA 14A, 1000 Ljubljana, 044 11 324, tadeja.jereb@pizza.si, 23.20, 2.00, 25.20, 9.07, PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], LJUBLJANSKA [pelati|sir|hrenovka|sveža paprika|skuta], , , , , , 
242, 5, Zaključena, Dodajanje sestavin, 12/01/2017 13:41:12, 12/01/2017 13:41:44, 12/01/2017 13:41:59, Uporabnik, Matjaž Jerman, NE, Olga Žagar, AGROKOMBINATSKA CESTA 13, 1000 Ljubljana, 044 289 369, olga.zagar@pizza.si, 51.90, 0.00, 51.90, , VEGETARIJANSKA [pelati|sir|sveži paradižnik|paprika|koruza|gobe|oliva], PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , , 
324, 2, Zaključena, Priprava, 12/01/2017 13:41:12, 12/01/2017 13:44:14, 12/01/2017 13:45:08, Uporabnik, Katarina Jenko, DA, Tadeja Jereb, JAKŠIČEVA ULICA 14A, 1000 Ljubljana, 044 11 324, tadeja.jereb@pizza.si, 23.20, 2.00, 25.20, 9.07, PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], LJUBLJANSKA [pelati|sir|hrenovka|sveža paprika|skuta], , , , , , 
228, 6, Zaključena, Zaključek, 12/01/2017 13:41:16, 12/01/2017 13:41:16, 12/01/2017 13:41:16, Sistem, , DA, Biljana Tomšič, ANŽURJEVA ULICA 38, 1000 Ljubljana, 044 683 309, biljana.tomsic@pizza.si, 21.70, 2.00, 23.70, 9.06, VEGETARIJANSKA [pelati|sir|sveži paradižnik|paprika|koruza|gobe|oliva], TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], , , , , , 
231, 8, Zaključena, Zaključek, 12/01/2017 13:41:20, 12/01/2017 13:41:20, 12/01/2017 13:41:20, Sistem, , NE, Katica Toplak, BRAJNIKOVA ULICA 21, 1000 Ljubljana, 044 49 114, katica.toplak@pizza.si, 19.00, 0.00, 19.00, 8.12, PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], ZELENJAVNA [pelati|sir|paradižnik|paprika|artičoke|beluši|koruza|oliva], , , , , , 
325, 1, Zaključena, Naročilo, 12/01/2017 13:41:21, 12/01/2017 13:41:21, 12/01/2017 13:41:21, Uporabnik, Berta Potočnik, NE, Nino Jenko, JERANOVA ULICA 1A, 1000 Ljubljana, 044 64 780, nino.jenko@pizza.si, 20.30, 0.00, 20.30, 11.47, GORENJSKA PIZZA [pelati|sir|gobe|goveja salama], ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], , , , , , 
325, 2, Zaključena, Počakaj, 12/01/2017 13:41:21, 12/01/2017 13:41:21, 12/01/2017 13:51:21, Sistem, , NE, Nino Jenko, JERANOVA ULICA 1A, 1000 Ljubljana, 044 64 780, nino.jenko@pizza.si, 20.30, 0.00, 20.30, 11.47, GORENJSKA PIZZA [pelati|sir|gobe|goveja salama], ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], , , , , , 
326, 1, Zaključena, Naročilo, 12/01/2017 13:41:23, 12/01/2017 13:41:23, 12/01/2017 13:41:23, Uporabnik, Berta Potočnik, NE, Elvira Kranjc, ULICA BRATOV UČAKAR 28, 1000 Ljubljana, 044 919 157, elvira.kranjc@pizza.si, 29.40, 0.00, 29.40, 6.60, VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], Z RUKOLO -sezonska [pelati|mozzarela|paradižnik|rukola|parmezan], , , , , 
326, 2, Zaključena, Počakaj, 12/01/2017 13:41:23, 12/01/2017 13:41:23, 12/01/2017 13:51:23, Sistem, , NE, Elvira Kranjc, ULICA BRATOV UČAKAR 28, 1000 Ljubljana, 044 919 157, elvira.kranjc@pizza.si, 29.40, 0.00, 29.40, 6.60, VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], Z RUKOLO -sezonska [pelati|mozzarela|paradižnik|rukola|parmezan], , , , , 
277, 4, Zaključena, Pakiranje, 12/01/2017 13:41:26, 12/01/2017 13:41:26, 12/01/2017 13:42:56, Uporabnik, Blaž Murko, DA, Saša Blažič, ROŽNA ULICA 25, 1000 Ljubljana, 044 808 032, sasa.blazic@pizza.si, 20.50, 2.00, 22.50, 10.53, HIŠNA [pelati|sir|šunka|gobe|oliva], ZELENJAVNA [pelati|sir|paradižnik|paprika|artičoke|beluši|koruza|oliva], , , , , , 
298, 3, Zaključena, Priprava, 12/01/2017 13:41:27, 12/01/2017 13:41:27, 12/01/2017 13:42:25, Uporabnik, Boštjan Kovačič, NE, Neža Bevc, TOPNIŠKA ULICA 23, 1000 Ljubljana, 044 969 729, neza.bevc@pizza.si, 21.40, 0.00, 21.40, 10.20, DRAVSKA [pelati|mozzarela|gobe|paradižnik|paprika|slanina], BELUŠKA [mozzarela|beluši|jurčki|oliva], , , , , , 
299, 3, Zaključena, Priprava, 12/01/2017 13:41:41, 12/01/2017 13:42:25, 12/01/2017 13:43:24, Uporabnik, Boštjan Kovačič, NE, Anže Horvat, ČRNA VAS 151, 1000 Ljubljana, 044 122 834, anze.horvat@pizza.si, 21.70, 0.00, 21.70, 10.30, VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], ZIMSKA PIZZA [pelati|sir|slanina|hrenovka|kisla smetana], , , , , , 
266, 6, Zaključena, Hitra dostava, 12/01/2017 13:41:42, 12/01/2017 13:41:42, 12/01/2017 13:47:52, Sistem, , DA, Lina Lešnik, POD VRBAMI 15, 1000 Ljubljana, 044 458 311, lina.lesnik@pizza.si, 80.80, 0.00, 80.80, 4.11, HIŠNA NA ¼ [pelati|sir|šunka|gobe|artičoke], GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], TARTUFATA [pelati|mozzarela|jurčki|tartufata|skuta], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], OGLARSKA [pelati|sir|jurčki|pečena slanina|hrenova omaka], 
289, 5, Zaključena, Pakiranje, 12/01/2017 13:41:44, 12/01/2017 13:41:44, 12/01/2017 13:43:11, Uporabnik, Klemen Rudolf, DA, Terezija Jelen, CARJA DUŠANA ULICA 16, 1000 Ljubljana, 044 196 199, terezija.jelen@pizza.si, 20.50, 2.00, 22.50, 4.55, JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], VEGI MEXICO [pelati|mozzarela|feferoni|rdeča salsa|nacho sir], , , , , , 
327, 1, Zaključena, Naročilo, 12/01/2017 13:41:45, 12/01/2017 13:41:45, 12/01/2017 13:41:45, Uporabnik, Janez Novak, NE, Branko Žnidaršič, ZAGREBŠKA ULICA 9, 1000 Ljubljana, 044 558 620, branko.znidarsic@pizza.si, 11.50, 0.00, 11.50, 10.42, LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], , , , , , , 
327, 2, Zaključena, Počakaj, 12/01/2017 13:41:45, 12/01/2017 13:41:45, 12/01/2017 13:51:45, Sistem, , NE, Branko Žnidaršič, ZAGREBŠKA ULICA 9, 1000 Ljubljana, 044 558 620, branko.znidarsic@pizza.si, 11.50, 0.00, 11.50, 10.42, LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], , , , , , , 
328, 1, Zaključena, Naročilo, 12/01/2017 13:41:48, 12/01/2017 13:41:48, 12/01/2017 13:41:48, Uporabnik, Berta Potočnik, NE, Hedvika Povše, ZALOŠKA CESTA 37, 1000 Ljubljana, 044 564 255, hedvika.povse@pizza.si, 21.80, 0.00, 21.80, 2.89, MEXICO [mozzarela|pelati|feferoni|rdeča salsa|gobe|pečena kulen salama], KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], , , , , , 
328, 2, Zaključena, Počakaj, 12/01/2017 13:41:48, 12/01/2017 13:41:48, 12/01/2017 13:51:48, Sistem, , NE, Hedvika Povše, ZALOŠKA CESTA 37, 1000 Ljubljana, 044 564 255, hedvika.povse@pizza.si, 21.80, 0.00, 21.80, 2.89, MEXICO [mozzarela|pelati|feferoni|rdeča salsa|gobe|pečena kulen salama], KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], , , , , , 
296, 4, Zaključena, Dodajanje sestavin, 12/01/2017 13:41:50, 12/01/2017 13:41:59, 12/01/2017 13:42:59, Uporabnik, Matjaž Jerman, DA, Leopold Javornik, NADGORIŠKA CESTA 21, 1000 Ljubljana, 044 630 006, leopold.javornik@pizza.si, 34.60, 2.00, 36.60, 2.74, RIBJA [pelati|sir|morski sadeži|tuna|losos|kaviar], LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], , , , , 
242, 6, Zaključena, Pakiranje, 12/01/2017 13:41:59, 12/01/2017 13:41:59, 12/01/2017 13:45:59, Uporabnik, Boštjan Kovačič, NE, Olga Žagar, AGROKOMBINATSKA CESTA 13, 1000 Ljubljana, 044 289 369, olga.zagar@pizza.si, 51.90, 0.00, 51.90, , VEGETARIJANSKA [pelati|sir|sveži paradižnik|paprika|koruza|gobe|oliva], PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , , 
271, 5, Zaključena, Dodajanje sestavin, 12/01/2017 13:42:14, 12/01/2017 13:42:59, 12/01/2017 13:43:44, Uporabnik, Matjaž Jerman, NE, Monika Šmid, SKOJEVSKA ULICA 5, 1000 Ljubljana, 044 227 836, monika.smid@pizza.si, 21.50, 0.00, 21.50, , JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], MORNAR [pelati|mozzarela|morski sadeži|dagnje], , , , , , 
189, 9, Zaključena, Dodajanje sestavin, 12/01/2017 13:42:17, 12/01/2017 13:42:17, 12/01/2017 13:42:32, Uporabnik, Primož Blažič, NE, Ida Bukovec, VODMATSKA ULICA 15, 1000 Ljubljana, 044 223 895, ida.bukovec@pizza.si, 22.60, 0.00, 22.60, , LJUBLJANSKA [pelati|sir|hrenovka|sveža paprika|skuta], HIŠNA NA ¼ [pelati|sir|šunka|gobe|artičoke], , , , , , 
298, 4, Zaključena, Pečenje, 12/01/2017 13:42:25, 12/01/2017 13:57:17, 12/01/2017 14:03:17, Uporabnik, Boris Medved, NE, Neža Bevc, TOPNIŠKA ULICA 23, 1000 Ljubljana, 044 969 729, neza.bevc@pizza.si, 21.40, 0.00, 21.40, 10.20, DRAVSKA [pelati|mozzarela|gobe|paradižnik|paprika|slanina], BELUŠKA [mozzarela|beluši|jurčki|oliva], , , , , , 
189, 10, Zaključena, Pakiranje, 12/01/2017 13:42:32, 12/01/2017 13:47:24, 12/01/2017 13:49:03, Uporabnik, Katarina Jenko, NE, Ida Bukovec, VODMATSKA ULICA 15, 1000 Ljubljana, 044 223 895, ida.bukovec@pizza.si, 22.60, 0.00, 22.60, , LJUBLJANSKA [pelati|sir|hrenovka|sveža paprika|skuta], HIŠNA NA ¼ [pelati|sir|šunka|gobe|artičoke], , , , , , 
261, 4, Zaključena, Dodajanje sestavin, 12/01/2017 13:42:36, 12/01/2017 13:42:36, 12/01/2017 13:44:36, Uporabnik, Primož Blažič, DA, Andraž Vovk, OMERSOVA ULICA 31, 1000 Ljubljana, 044 348 548, andraz.vovk@pizza.si, 64.70, 2.00, 66.70, , LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], KRAŠKA [pelati|sir|pršut|tržaška omaka], SARDINIJA [pelati|pršut|mozzarela|skuta|bazilika], SARDINIJA [pelati|pršut|mozzarela|skuta|bazilika], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], , 
290, 4, Zaključena, Pečenje, 12/01/2017 13:42:40, 12/01/2017 14:00:17, 12/01/2017 14:06:17, Uporabnik, Boris Medved, NE, Marjan Babič, MIHOV ŠTRADON 14, 1000 Ljubljana, 044 277 550, marjan.babic@pizza.si, 50.70, 0.00, 50.70, 5.58, LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], MORNAR [pelati|mozzarela|morski sadeži|dagnje], BELUŠKA [mozzarela|beluši|jurčki|oliva], MARGERITA [pelati|sir|oliva], PIKANTNA [pelati|tabasco|sir|šunka|feferoni|tržaška omaka|gobe], , , 
329, 1, Zaključena, Naročilo, 12/01/2017 13:42:51, 12/01/2017 13:42:51, 12/01/2017 13:42:51, Uporabnik, Janez Novak, NE, Leopold Kovačič, AVŠIČEVA CESTA 3, 1000 Ljubljana, 044 669 596, leopold.kovacic@pizza.si, 79.40, 0.00, 79.40, 11.03, DRAVSKA [pelati|mozzarela|gobe|paradižnik|paprika|slanina], TARTUFATA [pelati|mozzarela|jurčki|tartufata|skuta], PRIMORSKA [pelati|sir|gobe|pršut|oliva], LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], VEGETARIJANSKA [pelati|sir|sveži paradižnik|paprika|koruza|gobe|oliva], TIROLSKA [pelati|sir|pečena slanina|goveja salama|hrenova omaka], ARTIČOKINA [pelati|sir|šunka|artičoke|oliva], 
329, 2, Zaključena, Počakaj, 12/01/2017 13:42:51, 12/01/2017 13:42:51, 12/01/2017 13:52:51, Sistem, , NE, Leopold Kovačič, AVŠIČEVA CESTA 3, 1000 Ljubljana, 044 669 596, leopold.kovacic@pizza.si, 79.40, 0.00, 79.40, 11.03, DRAVSKA [pelati|mozzarela|gobe|paradižnik|paprika|slanina], TARTUFATA [pelati|mozzarela|jurčki|tartufata|skuta], PRIMORSKA [pelati|sir|gobe|pršut|oliva], LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], VEGETARIJANSKA [pelati|sir|sveži paradižnik|paprika|koruza|gobe|oliva], TIROLSKA [pelati|sir|pečena slanina|goveja salama|hrenova omaka], ARTIČOKINA [pelati|sir|šunka|artičoke|oliva], 
330, 1, Zaključena, Naročilo, 12/01/2017 13:42:55, 12/01/2017 13:42:55, 12/01/2017 13:42:55, Uporabnik, Berta Potočnik, NE, Daniel Pavlin, PETKOVA ULICA 13, 1000 Ljubljana, 044 408 247, daniel.pavlin@pizza.si, 31.80, 0.00, 31.80, , TRAVISO [pelati|sir|gobe|paradižnik|radič|parmezan], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], HIŠNA [pelati|sir|šunka|gobe|oliva], , , , , 
330, 2, Zaključena, Počakaj, 12/01/2017 13:42:55, 12/01/2017 13:42:55, 12/01/2017 13:52:55, Sistem, , NE, Daniel Pavlin, PETKOVA ULICA 13, 1000 Ljubljana, 044 408 247, daniel.pavlin@pizza.si, 31.80, 0.00, 31.80, , TRAVISO [pelati|sir|gobe|paradižnik|radič|parmezan], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], HIŠNA [pelati|sir|šunka|gobe|oliva], , , , , 
277, 5, Zaključena, Priprava, 12/01/2017 13:42:56, 12/01/2017 13:43:24, 12/01/2017 13:44:29, Uporabnik, Boštjan Kovačič, DA, Saša Blažič, ROŽNA ULICA 25, 1000 Ljubljana, 044 808 032, sasa.blazic@pizza.si, 20.50, 2.00, 22.50, 10.53, HIŠNA [pelati|sir|šunka|gobe|oliva], ZELENJAVNA [pelati|sir|paradižnik|paprika|artičoke|beluši|koruza|oliva], , , , , , 
217, 9, Zaključena, Prekliči naročilo, 12/01/2017 13:42:56, 12/01/2017 13:42:56, 12/01/2017 13:42:56, Sistem, , NE, Angela Ribič, KRIŽNA ULICA 33, 1000 Ljubljana, 044 78 997, angela.ribic@pizza.si, 44.40, 0.00, 44.40, 5.39, PIKANTNA [pelati|tabasco|sir|šunka|feferoni|tržaška omaka|gobe], ŠTAJERSKA [pelati|sir|gobe|kulen salama|pekoči feferoni], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], KULEN [pelati|sir|hrenovka|kulen pikant salama], , , , 
237, 7, Zaključena, Zaključek, 12/01/2017 13:42:57, 12/01/2017 13:42:57, 12/01/2017 13:42:57, Sistem, , DA, Vasja Pečnik, NOVO POLJE CESTA IX 16, 1000 Ljubljana, 044 83 262, vasja.pecnik@pizza.si, 33.70, 2.00, 35.70, 10.36, TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], ARTIČOKINA [pelati|sir|šunka|artičoke|oliva], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , 
296, 5, Zaključena, Pakiranje, 12/01/2017 13:42:59, 12/01/2017 13:45:59, 12/01/2017 13:48:16, Uporabnik, Boštjan Kovačič, DA, Leopold Javornik, NADGORIŠKA CESTA 21, 1000 Ljubljana, 044 630 006, leopold.javornik@pizza.si, 34.60, 2.00, 36.60, 2.74, RIBJA [pelati|sir|morski sadeži|tuna|losos|kaviar], LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], , , , , 
301, 3, Zaključena, Priprava, 12/01/2017 13:43:03, 12/01/2017 13:43:03, 12/01/2017 13:44:49, Uporabnik, Štefan Dolenc, NE, Mateja Volk, KAVŠKOVA ULICA 3, 1000 Ljubljana, 044 927 984, mateja.volk@pizza.si, 41.00, 0.00, 41.00, 3.70, BELUŠKA [mozzarela|beluši|jurčki|oliva], PIKANTNA [pelati|tabasco|sir|šunka|feferoni|tržaška omaka|gobe], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], MEXICO [mozzarela|pelati|feferoni|rdeča salsa|gobe|pečena kulen salama], , , , 
331, 1, Zaključena, Naročilo, 12/01/2017 13:43:09, 12/01/2017 13:43:09, 12/01/2017 13:43:09, Uporabnik, Berta Potočnik, NE, Pavla Kavčič, ULICA BORCEV ZA SEVERNO MEJO 38, 1000 Ljubljana, 044 778 197, pavla.kavcic@pizza.si, 24.30, 0.00, 24.30, , GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
331, 2, Zaključena, Počakaj, 12/01/2017 13:43:09, 12/01/2017 13:43:09, 12/01/2017 13:53:09, Sistem, , NE, Pavla Kavčič, ULICA BORCEV ZA SEVERNO MEJO 38, 1000 Ljubljana, 044 778 197, pavla.kavcic@pizza.si, 24.30, 0.00, 24.30, , GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
315, 3, Zaključena, Pečenje, 12/01/2017 13:43:10, 12/01/2017 13:55:29, 12/01/2017 14:01:29, Uporabnik, Karmen Prevec, DA, Dragutin Marković, BEZENŠKOVA ULICA 26, 1000 Ljubljana, 044 798 967, dragutin.markovic@pizza.si, 11.70, 2.00, 13.70, 3.37, TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], , , , , , , 
302, 3, Zaključena, Priprava, 12/01/2017 13:43:11, 12/01/2017 13:44:49, 12/01/2017 13:46:11, Uporabnik, Štefan Dolenc, NE, Patricija Javornik, VIPAVSKA ULICA 38, 1000 Ljubljana, 044 212 545, patricija.javornik@pizza.si, 34.30, 0.00, 34.30, 4.72, PIZZA Z DAGNJAMI [pelati|mozzarela|dagnje|tržaška omaka], HIŠNA NA ¼ [pelati|sir|šunka|gobe|artičoke], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , 
289, 6, Zaključena, Priprava, 12/01/2017 13:43:11, 12/01/2017 13:45:08, 12/01/2017 13:46:02, Uporabnik, Katarina Jenko, DA, Terezija Jelen, CARJA DUŠANA ULICA 16, 1000 Ljubljana, 044 196 199, terezija.jelen@pizza.si, 20.50, 2.00, 22.50, 4.55, JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], VEGI MEXICO [pelati|mozzarela|feferoni|rdeča salsa|nacho sir], , , , , , 
332, 1, Zaključena, Naročilo, 12/01/2017 13:43:21, 12/01/2017 13:43:21, 12/01/2017 13:43:21, Uporabnik, Janez Novak, NE, Katarina Rožič, ŠTULA 21, 1000 Ljubljana, 044 125 403, katarina.rozic@pizza.si, 28.80, 0.00, 28.80, 10.24, SIROVA [pelati|mozzarela|gauda|gorgonzola|skuta], MARGERITA [pelati|sir|oliva], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , , , , 
332, 2, Zaključena, Počakaj, 12/01/2017 13:43:21, 12/01/2017 13:43:21, 12/01/2017 13:53:21, Sistem, , NE, Katarina Rožič, ŠTULA 21, 1000 Ljubljana, 044 125 403, katarina.rozic@pizza.si, 28.80, 0.00, 28.80, 10.24, SIROVA [pelati|mozzarela|gauda|gorgonzola|skuta], MARGERITA [pelati|sir|oliva], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , , , , 
308, 3, Zaključena, Uredi naročilo, 12/01/2017 13:43:24, 12/01/2017 13:43:24, 12/01/2017 13:43:54, Uporabnik, Berta Potočnik, NE, Melita Primožič, VODNIKOVA CESTA 109, 1000 Ljubljana, 044 713 205, melita.primozic@pizza.si, 22.20, 0.00, 22.20, , ZELENJAVNA [pelati|sir|paradižnik|paprika|artičoke|beluši|koruza|oliva], KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], , , , , , 
299, 4, Zaključena, Pečenje, 12/01/2017 13:43:24, 12/01/2017 14:06:36, 12/01/2017 14:12:36, Uporabnik, Matej Straha, NE, Anže Horvat, ČRNA VAS 151, 1000 Ljubljana, 044 122 834, anze.horvat@pizza.si, 21.70, 0.00, 21.70, 10.30, VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], ZIMSKA PIZZA [pelati|sir|slanina|hrenovka|kisla smetana], , , , , , 
274, 5, Zaključena, Pakiranje, 12/01/2017 13:43:29, 12/01/2017 13:43:29, 12/01/2017 13:44:54, Uporabnik, Blaž Murko, NE, Slobodan Petrovič, SOJERJEVA ULICA 44, 1000 Ljubljana, 044 783 242, slobodan.petrovic@pizza.si, 20.00, 0.00, 20.00, , POSEBNA [pelati|sir|šunka|beluši|kapre|artičoke], ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], , , , , , 
256, 7, Zaključena, Priprava, 12/01/2017 13:43:31, 12/01/2017 13:43:31, 12/01/2017 13:44:49, Uporabnik, Peter Mlakar, NE, Kevin Žibert, VEVŠKA CESTA 7, 1000 Ljubljana, 044 999 801, kevin.zibert@pizza.si, 39.10, 0.00, 39.10, 10.90, PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], HIŠNA PIZZA [pelati|sir|domača salama|domača šunka|domača klobasa|gobe|jajce|oliva], GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], , , , , 
333, 1, Zaključena, Naročilo, 12/01/2017 13:43:37, 12/01/2017 13:43:54, 12/01/2017 13:43:54, Uporabnik, Berta Potočnik, NE, Davor Kokol, NA STRAŠKI VRH 26, 1000 Ljubljana, 044 417 855, davor.kokol@pizza.si, 42.70, 0.00, 42.70, 0.98, ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], PRIMORSKA [pelati|sir|gobe|pršut|oliva], , , , 
322, 3, Zaključena, Uredi naročilo, 12/01/2017 13:43:39, 12/01/2017 13:43:39, 12/01/2017 13:44:35, Uporabnik, Janez Novak, NE, Muhamed Skok, MALNARJEVA ULICA 1, 1000 Ljubljana, 044 976 656, muhamed.skok@pizza.si, 9.20, 0.00, 9.20, 1.23, MORSKA [pelati|sir|morski sadeži|tržaška omaka], , , , , , , 
334, 1, Zaključena, Naročilo, 12/01/2017 13:43:42, 12/01/2017 13:43:54, 12/01/2017 13:43:54, Uporabnik, Berta Potočnik, DA, Frančišek Rozman, VODNIKOVA CESTA 104F, 1000 Ljubljana, 044 249 029, francisek.rozman@pizza.si, 52.50, 2.00, 54.50, 8.15, LJUBLJANSKA [pelati|sir|hrenovka|sveža paprika|skuta], BELUŠKA [mozzarela|beluši|jurčki|oliva], RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], KRAŠKA [pelati|sir|pršut|tržaška omaka], , , 
271, 6, Zaključena, Pakiranje, 12/01/2017 13:43:44, 12/01/2017 13:43:44, 12/01/2017 13:45:15, Uporabnik, Peter Mlakar, NE, Monika Šmid, SKOJEVSKA ULICA 5, 1000 Ljubljana, 044 227 836, monika.smid@pizza.si, 21.50, 0.00, 21.50, , JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], MORNAR [pelati|mozzarela|morski sadeži|dagnje], , , , , , 
308, 4, Zaključena, Priprava, 12/01/2017 13:43:54, 12/01/2017 13:43:54, 12/01/2017 13:44:52, Uporabnik, Simona Vodopivec, NE, Melita Primožič, VODNIKOVA CESTA 109, 1000 Ljubljana, 044 713 205, melita.primozic@pizza.si, 22.20, 0.00, 22.20, , ZELENJAVNA [pelati|sir|paradižnik|paprika|artičoke|beluši|koruza|oliva], KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], , , , , , 
333, 2, Zaključena, Počakaj, 12/01/2017 13:43:54, 12/01/2017 13:43:54, 12/01/2017 13:53:54, Sistem, , NE, Davor Kokol, NA STRAŠKI VRH 26, 1000 Ljubljana, 044 417 855, davor.kokol@pizza.si, 42.70, 0.00, 42.70, 0.98, ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], PRIMORSKA [pelati|sir|gobe|pršut|oliva], , , , 
